Employee_ID,Name,Department,Salary,Join_Date,Performance_Score
101,John Doe,Sales,65000,2022-03-15,Excellent
102,Jane Smith,Engineering,95000,2021-06-01,Excellent
103,Michael Brown,Marketing,54000,2023-01-10,Good
104,Emily Davis,Engineering,88000,2020-11-20,Outstanding
105,James Wilson,Sales,62000,2022-08-05,Average
106,Sarah Martinez,HR,50000,2024-02-14,Good
107,David Anderson,Marketing,58000,2021-09-18,Average
108,Chris Taylor,Engineering,105000,2019-04-12,Outstanding
109,Amanda Thomas,HR,52000,2023-07-22,Good
110,Robert Jackson,Sales,71000,2020-05-30,Excellent
